timestamp,session_id,query,stage,route,agent,source,score,vector_dim,vector_preview,retrieved,prompt_chars,prompt_preview,raw_output_preview,final_output_preview
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_query,,text,,,384,"[-0.02464, -0.0603, -0.05445, 0.07577, -0.04808, -0.01099, 0.0833, 0.06646, -0.04097, -0.03435]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,SPEC manual pymca.pdf,0.8466079235076904,384,"[-0.02271, 0.03471, -0.09924, 0.00139, -0.01429, -0.06149, 0.03608, 0.08748, -0.07665, 0.05045]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,SPEC manual pymca.pdf,0.993088960647583,384,"[-0.02948, -0.04694, -0.01663, 0.04644, -0.09365, -0.07635, -0.08227, 0.0293, -0.13904, -0.03449]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,SPEC manual pymca.pdf,1.0027817487716675,384,"[-0.05257, -0.00297, -0.10014, 0.0086, 0.03906, -0.03795, 0.0151, 0.07762, -0.06475, 0.0307]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,SPEC manual pymca.pdf,1.0991215705871582,384,"[0.0074, 0.01973, -0.07905, -0.07281, -0.02843, 0.02801, 0.05789, 0.13537, -0.10392, 0.02706]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,introduction.md,1.1192103624343872,384,"[0.01813, -0.03039, -0.0731, -0.052, -0.03192, 0.00856, -0.03037, 0.05572, -0.01542, -0.06601]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,spec Manual cambria.pdf,1.1593983173370361,384,"[-0.03541, 0.02999, -0.04573, 0.09976, 0.03715, -0.03718, 0.09685, 0.01735, -0.00383, 0.00326]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,introduction.md,1.1651304960250854,384,"[0.00629, 0.06613, -0.07345, -0.04369, -0.00275, 0.0495, 0.01136, 0.03795, -0.00467, -0.06006]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,spec Manual cambria.pdf,1.1744256019592285,384,"[-0.00817, 0.03108, -0.0846, 0.01876, -0.05303, 0.00809, 0.08425, 0.05819, 0.01268, -0.022]",,,,,
2025-10-15T15:02:40,20251015_150222_5bf1a1,"Explain the meaning, usage, and behavior of the command or code: write about beamline. Consider argument variations like (addr, s).",embedding_doc,,text,SPEC manual pymca.pdf,1.1856491565704346,384,"[-0.01329, -0.08568, 0.0204, 0.03633, -0.03371, -0.00339, -0.04152, -0.00937, -0.10869, -0.10445]",,,,,
